"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2019","321.71","321.71","321.71","321.71","","-0.34%"
"01/28/2019","322.81","322.81","322.81","322.81","","0.01%"
"01/25/2019","322.77","322.77","322.77","322.77","","0.45%"
"01/24/2019","321.31","321.31","321.31","321.31","","0.64%"
"01/23/2019","319.28","319.28","319.28","319.28","","-0.74%"
"01/22/2019","321.67","321.67","321.67","321.67","","-1.08%"
"01/21/2019","325.17","325.17","325.17","325.17","","-0.32%"
"01/18/2019","326.22","326.22","326.22","326.22","","0.38%"
"01/17/2019","324.99","324.99","324.99","324.99","","-0.43%"
"01/16/2019","326.39","326.39","326.39","326.39","","0.57%"
"01/15/2019","324.53","324.53","324.53","324.53","","1.45%"
"01/14/2019","319.88","319.88","319.88","319.88","","-0.91%"
"01/11/2019","322.82","322.82","322.82","322.82","","0.60%"
"01/10/2019","320.90","320.90","320.90","320.90","","0.89%"
"01/09/2019","318.08","318.08","318.08","318.08","","1.04%"
"01/08/2019","314.81","314.81","314.81","314.81","","0.71%"
"01/07/2019","312.58","312.58","312.58","312.58","","1.75%"
"01/04/2019","307.21","307.21","307.21","307.21","","1.34%"
"01/03/2019","303.14","303.14","303.14","303.14","","-0.88%"
"01/02/2019","305.83","305.83","305.83","305.83","","-0.91%"
"12/31/2018","308.65","308.65","308.65","308.65","","0.45%"
"12/28/2018","307.27","307.27","307.27","307.27","","0.25%"
"12/27/2018","306.51","306.51","306.51","306.51","","1.02%"
"12/26/2018","303.42","303.42","303.42","303.42","","-1.23%"
"12/25/2018","307.19","307.19","307.19","307.19","","0.00%"
"12/24/2018","307.19","307.19","307.19","307.19","","-0.07%"
"12/21/2018","307.42","307.42","307.42","307.42","","0.00%"
"12/20/2018","307.41","307.41","307.41","307.41","","-0.56%"
"12/19/2018","309.15","309.15","309.15","309.15","","0.22%"
"12/18/2018","308.46","308.46","308.46","308.46","","-1.78%"
"12/17/2018","314.05","314.05","314.05","314.05","","1.24%"
"12/14/2018","310.19","310.19","310.19","310.19","","-1.31%"
"12/13/2018","314.30","314.30","314.30","314.30","","0.49%"
"12/12/2018","312.76","312.76","312.76","312.76","","1.17%"
"12/11/2018","309.15","309.15","309.15","309.15","","-0.48%"
"12/10/2018","310.65","310.65","310.65","310.65","","-1.22%"
"12/07/2018","314.49","314.49","314.49","314.49","","-0.27%"
"12/06/2018","315.35","315.35","315.35","315.35","","-1.30%"
"12/05/2018","319.49","319.49","319.49","319.49","","-0.45%"
"12/04/2018","320.92","320.92","320.92","320.92","","-0.66%"
"12/03/2018","323.05","323.05","323.05","323.05","","2.63%"
"11/30/2018","314.78","314.78","314.78","314.78","","-0.05%"
"11/29/2018","314.94","314.94","314.94","314.94","","0.59%"
"11/28/2018","313.08","313.08","313.08","313.08","","0.25%"
"11/27/2018","312.31","312.31","312.31","312.31","","0.03%"
"11/26/2018","312.21","312.21","312.21","312.21","","1.39%"
"11/23/2018","307.92","307.92","307.92","307.92","","0.47%"
"11/22/2018","306.47","306.47","306.47","306.47","","-0.19%"
"11/21/2018","307.05","307.05","307.05","307.05","","0.35%"
"11/20/2018","305.97","305.97","305.97","305.97","","-1.33%"
"11/19/2018","310.10","310.10","310.10","310.10","","-0.29%"
"11/16/2018","311.01","311.01","311.01","311.01","","0.72%"
"11/15/2018","308.79","308.79","308.79","308.79","","0.18%"
"11/14/2018","308.24","308.24","308.24","308.24","","-0.45%"
"11/13/2018","309.62","309.62","309.62","309.62","","-0.77%"
"11/12/2018","312.02","312.02","312.02","312.02","","-0.44%"
"11/09/2018","313.40","313.40","313.40","313.40","","-0.59%"
"11/08/2018","315.25","315.25","315.25","315.25","","0.46%"
"11/07/2018","313.80","313.80","313.80","313.80","","0.25%"
"11/06/2018","313.02","313.02","313.02","313.02","","0.00%"
"11/05/2018","313.02","313.02","313.02","313.02","","-1.96%"
"11/02/2018","319.28","319.28","319.28","319.28","","2.01%"
"11/01/2018","313.00","313.00","313.00","313.00","","1.40%"
"10/31/2018","308.68","308.68","308.68","308.68","","1.88%"
"10/30/2018","302.99","302.99","302.99","302.99","","-0.60%"
"10/29/2018","304.82","304.82","304.82","304.82","","0.11%"
"10/26/2018","304.47","304.47","304.47","304.47","","-1.57%"
"10/25/2018","309.32","309.32","309.32","309.32","","-0.55%"
